app_id,run_id,opendate,inittermnumber,initpayment,asktotalcreditqty,inputusername,appdatetime,signdate,totalmaxpayment,card_number,client_snils,client_inn
2300154623,620493,2020-09-22,,50980.28,5100000.0,Ипотечный Сотрудник Фронт-офиса ,2020-09-22,,169650.0,6251464868843482,16371004234,196380242205
2300147670,620390,2020-09-19,,,2550000.0,Ипотечный Циковец Разработкович,2020-09-22,,104617.0,1276867176612151,21101825288,326107016414
2100048296,620291,2020-09-22,24.0,4000.0,100000.0,Фронтовый Сотрудник Планктонович,2020-09-22,2020-09-22,,8172678161633347,70127724058,86505775121
2300154752,620762,2020-09-22,,124923.24,9545895.0,Ипотечный Циковец Разработкович,2020-09-22,,,8511785266755284,00451640100,298978952559
2300152877,619714,2020-09-21,,50521.88,4900000.0,System,2020-09-21,,169650.0,3846538265371718,55224537174,458149594571
2300155603,621700,2020-09-22,13.0,106464.06,1176471.0,System,2020-09-22,2020-09-22,,6227613253845116,81255106670,17214624206
2300155495,621643,2020-09-22,,1031.06,100000.0,Ипотечный Сотрудник Фронт-офиса ,2020-09-22,,,2535288625412553,85152074087,375255544104
2300152746,619497,2020-09-21,60.0,7619.97,350000.0,System,2020-09-21,2020-09-21,,5371743237155848,45355783210,117510773401
2300155117,621142,2020-09-22,,49281.01,5100000.0,Ипотечный Сотрудник Фронт-офиса ,2020-09-22,,169650.0,7661557343162674,01257655742,38632919032
2300152690,619430,2020-09-21,24.0,10298.02,200000.0,System,2020-09-21,2020-09-21,,4676136128251863,86011380571,475647701600
2300155110,621084,2020-09-22,,,50000.0,SYSTEM,2020-09-22,2020-09-22,,2815385163446332,74870331216,45919072221
2300155061,621055,2020-09-22,,50302.54,5000000.0,Фронтовой-Томский Сотрудник ,2020-09-22,,,5647167878522584,12866530075,405359808448
2300155554,621671,2020-09-22,,1031.06,100000.0,Ипотечный Сотрудник Фронт-офиса ,2020-09-22,,,6488424432767454,38107572077,135355785790
2300155656,621757,2020-09-22,,2113.43,100000.0,Фронтовый Сотрудник Планктонович,2020-09-22,,,1663862668533436,87648634174,128794672339
2300153186,619982,2020-09-21,36.0,5064.88,150000.0,System,2020-09-21,2020-09-21,,7528727331843462,8066144761,87440664327
2300152928,619750,2020-09-21,24.0,23839.96,490000.0,Иванов Иван Иванович,2020-09-21,2020-09-21,,2676533688813368,14715632360,225633952117
2300128258,620971,2020-09-10,,66713.1,5999999.99,Ипотечный Циковец Разработкович,2020-09-22,,,8353448463277762,04724260038,49161879000
2300153236,620013,2020-09-21,36.0,5064.88,150000.0,System,2020-09-21,2020-09-21,,8622165767462723,85723453023,207930762705
2300154566,620435,2020-09-22,60.0,3940.32,165555.0,Фронтовый Сотрудник Планктонович,2020-09-22,2020-09-22,,1423454634585626,04584463074,197693825334
2300154877,620851,2020-09-22,24.0,3892.24,80000.0,System,2020-09-22,2020-09-22,,8818122217511221,5544382462,416501040901
2300154817,620814,2020-09-22,50.0,30803.21,1200000.0,System,2020-09-22,2020-09-22,,1213141682587272,07283118661,417725028451
2300155237,621244,2020-09-22,,,60000.0,Фронтовый Сотрудник Планктонович,2020-09-22,2020-09-22,,1717143786251777,84405320276,269841048995
2300152923,619705,2020-09-21,60.0,9797.11,450000.0,System,2020-09-21,2020-09-21,,7487727614762748,38210230330,458289093906
2300155497,621618,2020-09-22,,,50000.0,Фронтовый Сотрудник Планктонович,2020-09-22,2020-09-22,,2117858458536553,00744864656,375829508119
2300155497,621634,2020-09-22,,,50000.0,Фронтовый Сотрудник Планктонович,2020-09-22,2020-09-22,,1312744662515275,50308760556,255806905805
2300154462,620425,2020-09-22,60.0,4994.27,200000.0,System,2020-09-22,2020-09-22,,4835186547883782,24106066319,198137988931
2300155489,621630,2020-09-22,,38740.14,3600000.0,Ипотечный Циковец Разработкович,2020-09-22,,192270.0,7686782831266117,65533252896,135675275848
2300155365,621392,2020-09-22,19.0,34701.16,550000.0,System,2020-09-22,2020-09-22,,8571581245438455,87175537144,146263024106
2300152752,619526,2020-09-21,60.0,23408.35,1100000.0,System,2020-09-21,2020-09-21,,3341142323873533,13432637540,116727640518
2300155306,621328,2020-09-22,,,60000.0,Фронтовый Сотрудник Планктонович,2020-09-22,2020-09-22,,7244348138625438,07128171243,268172024490
2300155363,621708,2020-09-22,60.0,5046.53,200000.0,System,2020-09-22,2020-09-22,,7881471368463734,81682442414,17202981813
2300155043,621007,2020-09-22,60.0,1113.45,50000.0,System,2020-09-22,2020-09-22,,7313557458445256,5552652460,406511535569
2300144261,621246,2020-09-17,,92855.16,10000000.0,Ипотечный Сотрудник Фронт-офиса ,2020-09-22,,195750.0,2518814738571884,40614188350,35939545938
2300154681,620554,2020-09-22,,51239.0,5000000.0,System,2020-09-22,,,6213243482588673,42637381185,316015855491
2300155604,621721,2020-09-22,,18066.09,1700000.0,Ипотечный Сотрудник Фронт-офиса ,2020-09-22,,195750.0,6277815383224147,80072678084,16356025929
2300154944,620938,2020-09-22,,50302.54,5000000.0,Фронтовой-Томский Сотрудник ,2020-09-22,,,4432785787653647,55826565433,49643225404
2300152686,621745,2020-09-21,,25198.37,3000000.0,Ипотечный Сотрудник Фронт-офиса ,2020-09-22,,,1746751465114237,78466132440,128884697592
2300152981,619816,2020-09-21,,49281.01,5100000.0,Ипотечный Сотрудник Фронт-офиса ,2020-09-21,,169650.0,2774834721213445,77728535057,218475175288
2300155174,621193,2020-09-22,,,60000.0,Фронтовый Сотрудник Планктонович,2020-09-22,2020-09-22,,8851185187673575,3806850550,156454330654
2300155111,621094,2020-09-22,,28988.83,3000000.0,Ипотечный Сотрудник Фронт-офиса ,2020-09-22,,169650.0,1212158618548213,66184584431,277866364917
2300154752,620853,2020-09-22,,124923.24,9545895.0,Ипотечный Циковец Разработкович,2020-09-22,,,7822326283335867,73700817791,297445073859
2300152183,621100,2020-09-21,60.0,3340.34,150000.0,System,2020-09-22,2020-09-22,,8562237864726282,33426887292,399000208709
2300152810,619540,2020-09-21,13.0,4384.18,50000.0,System,2020-09-21,2020-09-21,,8632651332266465,58804820223,236892078062
2300153186,619975,2020-09-21,36.0,5064.88,150000.0,System,2020-09-21,2020-09-21,,1246617773573472,45121435842,87794457529
2300155050,621110,2020-09-22,60.0,7175.54,300000.0,System,2020-09-22,2020-09-22,,4312332682316851,44674287319,39183678406
2300154760,620780,2020-09-22,24.0,12872.53,250000.0,System,2020-09-22,2020-09-22,,7274556438525773,08280623162,298875046640
7530,620618,2020-09-22,60.0,12162.04,500000.0,Фронтовый Сотрудник Планктонович,2020-09-22,2020-09-22,,8732571561556158,48561518417,429207384547
2300154935,620904,2020-09-22,24.0,25267.03,500000.0,Фронтовый Сотрудник Планктонович,2020-09-22,2020-09-22,,6617673555868134,11557630554,169466663794
2300155428,621545,2020-09-22,,1368.61,170000.0,Ипотечный Циковец Разработкович,2020-09-22,,197925.0,7822144842856142,38028032257,258838466779
2300155234,621224,2020-09-22,,,600000.0,SYSTEM,2020-09-22,2020-09-22,,3438726817434418,21013551488,275638892417
2300152813,619547,2020-09-21,30.0,41868.26,1081081.0,System,2020-09-21,2020-09-21,,1353643737457186,84111531153,236853315601
2100048297,620292,2020-09-22,24.0,7000.0,150000.0,Фронтовый Сотрудник Планктонович,2020-09-22,2020-09-22,,7832483135772238,27332755479,439642759038
2300155307,621330,2020-09-22,19.0,33158.16,550000.0,System,2020-09-22,2020-09-22,,7466366583588111,23055712233,28634540885
2100048246,619609,2020-09-21,,,60000.0,Фронтовый Сотрудник Планктонович,2020-09-21,2020-09-21,,2313324511144178,31503748242,235863516601
2300155367,621420,2020-09-22,,,600000.0,SYSTEM,2020-09-22,2020-09-22,,4325388841811432,87815547463,266092318194
2300152754,619606,2020-09-21,,313169.08,20221815.0,Ипотечный Циковец Разработкович,2020-09-21,,,1323143544151142,3836228531,109560783113
2100048250,620087,2020-09-21,,,60000.0,Фронтовый Сотрудник Планктонович,2020-09-21,2020-09-21,,3735818678217746,88438233346,445802862973
2300152754,619617,2020-09-21,,313169.08,20221815.0,Ипотечный Циковец Разработкович,2020-09-21,,,7127165131351836,01721667635,465519443475
2300154690,620620,2020-09-22,,47844.72,5000000.0,Ипотечный Сотрудник Фронт-офиса ,2020-09-22,,,1736183878142543,50306162425,309136096022
2300155299,621304,2020-09-22,,,50000.0,SYSTEM,2020-09-22,2020-09-22,,4115155636214112,53554886424,148527863319
2300154566,620445,2020-09-22,60.0,3874.15,165555.0,Фронтовый Сотрудник Планктонович,2020-09-22,2020-09-22,,2454831362147455,68060450488,79400841792
2300154811,620766,2020-09-22,,47844.72,5000000.0,Ипотечный Сотрудник Фронт-офиса ,2020-09-22,,,5674477718515146,83204234761,178942876820
2300155479,621566,2020-09-22,60.0,4453.79,200000.0,System,2020-09-22,2020-09-22,,2811372444768161,14771616883,257724051306
2300139173,621497,2020-09-15,,37194.87,3500000.0,Ипотечный Сотрудник Фронт-офиса ,2020-09-22,,221850.0,8412731481312838,80334324864,259663982813
2300154679,620540,2020-09-22,60.0,9797.11,450000.0,System,2020-09-22,2020-09-22,,5572386153456577,72706476510,316204151010
